theta,A2,b,a,z,status
66,-10,7.5,6.5,-1.0,NotYet
66,-10,7.5,6.6,-0.8,NotYet
66,-10,7.5,6.6,-0.6,NotYet
66,-10,7.5,6.5,-0.4,NotYet
66,-10,7.6,6.4,-0.2,NotYet
66,-10,7.6,6.2,0.0,NotYet
66,-10,7.7,6.1,0.2,NotYet
66,-10,7.6,6.2,0.4,NotYet
66,-10,7.5,6.3,0.6,NotYet
66,-10,7.5,6.4,0.8,NotYet
66,-8,7.5,6.5,-1.0,NotYet
66,-8,7.5,6.5,-0.8,NotYet
66,-8,7.5,6.5,-0.6,NotYet
66,-8,7.5,6.4,-0.4,NotYet
66,-8,7.5,6.3,-0.2,NotYet
66,-8,7.6,6.1,0.0,NotYet
66,-8,7.6,6.1,0.2,NotYet
66,-8,7.5,6.3,0.4,NotYet
66,-8,7.4,6.4,0.6,NotYet
66,-8,7.4,6.5,0.8,NotYet
66,-6,7.4,6.5,-1.0,NotYet
66,-6,7.4,6.5,-0.8,NotYet
66,-6,7.4,6.5,-0.6,NotYet
66,-6,7.5,6.3,-0.4,NotYet
66,-6,7.5,6.2,-0.2,NotYet
66,-6,7.5,6.1,0.0,NotYet
66,-6,7.5,6.2,0.2,NotYet
66,-6,7.4,6.4,0.4,NotYet
66,-6,7.3,6.5,0.6,NotYet
66,-6,7.3,6.6,0.8,NotYet
66,-4,7.4,6.5,-1.0,NotYet
66,-4,7.4,6.5,-0.8,NotYet
66,-4,7.4,6.4,-0.6,NotYet
66,-4,7.5,6.3,-0.4,NotYet
66,-4,7.5,6.1,-0.2,NotYet
66,-4,7.5,6.1,0.0,NotYet
66,-4,7.4,6.3,0.2,NotYet
66,-4,7.3,6.5,0.4,NotYet
66,-4,7.3,6.6,0.6,NotYet
66,-4,7.3,6.6,0.8,NotYet
66,-2,7.4,6.4,-1.0,NotYet
66,-2,7.4,6.4,-0.8,NotYet
66,-2,7.5,6.3,-0.6,NotYet
66,-2,7.5,6.2,-0.4,NotYet
66,-2,7.5,6.1,-0.2,NotYet
66,-2,7.5,6.2,0.0,NotYet
66,-2,7.4,6.4,0.2,NotYet
66,-2,7.3,6.6,0.4,NotYet
66,-2,7.3,6.6,0.6,NotYet
66,-2,7.3,6.6,0.8,NotYet
66,0,7.5,6.4,-1.0,NotYet
66,0,7.5,6.3,-0.8,NotYet
66,0,7.5,6.2,-0.6,NotYet
66,0,7.6,6.1,-0.4,NotYet
66,0,7.6,6.1,-0.2,NotYet
66,0,7.5,6.3,0.0,NotYet
66,0,7.4,6.5,0.2,NotYet
66,0,7.3,6.6,0.4,NotYet
66,0,7.3,6.7,0.6,NotYet
66,0,7.3,6.7,0.8,NotYet
66,2,7.6,6.3,-1.0,NotYet
66,2,7.6,6.3,-0.8,NotYet
66,2,7.6,6.2,-0.6,NotYet
66,2,7.6,6.1,-0.4,NotYet
66,2,7.6,6.2,-0.2,NotYet
66,2,7.5,6.4,0.0,NotYet
66,2,7.4,6.6,0.2,NotYet
66,2,7.3,6.7,0.4,NotYet
66,2,7.3,6.7,0.6,NotYet
66,2,7.3,6.7,0.8,NotYet
66,4,7.6,6.3,-1.0,NotYet
66,4,7.7,6.2,-0.8,NotYet
66,4,7.7,6.1,-0.6,NotYet
66,4,7.7,6.1,-0.4,NotYet
66,4,7.6,6.3,-0.2,NotYet
66,4,7.5,6.5,0.0,NotYet
66,4,7.4,6.7,0.2,NotYet
66,4,7.4,6.7,0.4,NotYet
66,4,7.4,6.7,0.6,NotYet
66,4,7.4,6.7,0.8,NotYet
66,6,7.8,6.2,-1.0,NotYet
66,6,7.8,6.1,-0.8,NotYet
66,6,7.8,6.0,-0.6,NotYet
66,6,7.7,6.2,-0.4,NotYet
66,6,7.6,6.4,-0.2,NotYet
66,6,7.5,6.6,0.0,NotYet
66,6,7.5,6.7,0.2,NotYet
