theta,za,zb,a,b,status
5,0.0,0.0,6.3,7.3,NotYet
5,0.0,0.0,3.7,12.7,NotYet
10,0.0,0.0,6.4,7.1,NotYet
10,0.0,0.0,3.7,12.6,NotYet
15,0.0,0.0,6.5,6.8,NotYet
15,0.0,0.0,3.8,12.3,NotYet
20,0.0,0.0,6.8,6.3,NotYet
20,0.0,0.0,3.8,12.2,NotYet
25,0.0,0.0,7.3,6.0,NotYet
25,0.0,0.0,3.9,11.9,NotYet
30,0.0,0.0,7.8,5.7,NotYet
30,0.0,0.0,4.0,11.5,NotYet
35,0.0,0.0,8.6,5.3,NotYet
35,0.0,0.0,4.2,11.1,NotYet
40,0.0,0.0,7.3,6.9,NotYet
40,0.0,0.0,9.3,5.0,NotYet
40,0.0,0.0,4.4,10.6,NotYet
45,0.0,0.0,7.1,7.2,NotYet
45,0.0,0.0,10.0,4.7,NotYet
45,0.0,0.0,4.7,10.0,NotYet
5,0.0,1.2,6.3,7.3,NotYet
5,0.0,1.2,3.7,12.7,NotYet
10,0.0,1.2,6.4,7.1,NotYet
10,0.0,1.2,3.7,12.6,NotYet
15,0.0,1.2,6.5,6.8,NotYet
15,0.0,1.2,3.8,12.3,NotYet
20,0.0,1.2,6.8,6.3,NotYet
20,0.0,1.2,3.8,12.2,NotYet
25,0.0,1.2,7.3,6.0,NotYet
25,0.0,1.2,3.9,11.9,NotYet
30,0.0,1.2,7.8,5.7,NotYet
30,0.0,1.2,4.0,11.5,NotYet
35,0.0,1.2,8.6,5.3,NotYet
35,0.0,1.2,4.2,11.1,NotYet
40,0.0,1.2,7.3,6.9,NotYet
40,0.0,1.2,9.3,5.0,NotYet
40,0.0,1.2,4.4,10.6,NotYet
45,0.0,1.2,7.1,7.2,NotYet
45,0.0,1.2,10.0,4.7,NotYet
45,0.0,1.2,4.7,10.0,NotYet
5,0.0,2.4,6.3,7.3,NotYet
5,0.0,2.4,3.7,12.7,NotYet
10,0.0,2.4,6.4,7.1,NotYet
10,0.0,2.4,3.7,12.6,NotYet
15,0.0,2.4,6.5,6.8,NotYet
15,0.0,2.4,3.8,12.3,NotYet
20,0.0,2.4,6.8,6.3,NotYet
20,0.0,2.4,3.8,12.2,NotYet
25,0.0,2.4,7.3,6.0,NotYet
25,0.0,2.4,3.9,11.9,NotYet
30,0.0,2.4,7.8,5.7,NotYet
30,0.0,2.4,4.0,11.5,NotYet
35,0.0,2.4,8.6,5.3,NotYet
35,0.0,2.4,4.2,11.1,NotYet
40,0.0,2.4,7.3,6.9,NotYet
40,0.0,2.4,9.3,5.0,NotYet
40,0.0,2.4,4.4,10.6,NotYet
45,0.0,2.4,7.1,7.2,NotYet
45,0.0,2.4,10.0,4.7,NotYet
45,0.0,2.4,4.7,10.0,NotYet
5,0.0,3.6,6.3,7.3,NotYet
5,0.0,3.6,3.7,12.7,NotYet
10,0.0,3.6,6.4,7.1,NotYet
10,0.0,3.6,3.7,12.6,NotYet
15,0.0,3.6,6.5,6.8,NotYet
15,0.0,3.6,3.8,12.3,NotYet
